196	242	2.32
186	302	3.1
22	377	1.05
244	51	1.49
166	346	1.51
298	474	1.26
115	265	1.35
253	465	1.8
305	451	3.11
6	86	1.5
62	257	2.11
286	1014	4.18
200	222	2.76
210	40	1.27
224	29	1.77
303	785	1.65
122	387	4.96
194	274	2.5
291	1042	3.97
234	1184	2.36
119	392	3.56
167	486	2.66
299	144	3.54
291	118	2.4
308	1	3.2
95	546	2.56
38	95	2.0
102	768	2.55
63	277	2.58
160	234	3.41
50	246	3.27
301	98	2.07
225	193	2.06
290	88	2.84
97	194	2.77
157	274	3.68
181	1081	1.7
278	603	2.98
276	796	1.57
7	32	1.82
10	16	2.43
284	304	3.3
201	979	1.91
276	564	3.39
287	327	1.85
246	201	1.76
242	1137	2.24
249	241	2.95
99	4	4.65
178	332	1.23
251	100	1.72
81	432	1.38
260	322	3.5
25	181	4.1
59	196	2.56
72	679	1.61
87	384	1.7
290	143	1.68
42	423	2.4
292	515	1.11
115	20	2.19
20	288	1.01
201	219	4.08
13	526	1.15
246	919	1.94
138	26	3.23
167	232	1.14
60	427	3.79
57	304	4.17
223	274	3.91
189	512	2.55
243	15	1.73
92	1049	1.1
246	416	1.64
194	165	1.62
241	690	1.48
178	248	1.04
254	1444	2.51
293	5	2.7
127	229	4.64
225	237	1.35
299	229	2.43
225	480	4.88
276	54	3.11
291	144	3.5
222	366	3.38
267	518	4.76
42	403	2.16
11	111	1.73
95	625	3.81
8	338	3.49
162	25	1.19
87	1016	3.59
279	154	3.08
145	275	2.04
119	1153	2.4
62	498	1.42
62	382	2.36
28	209	1.97
135	23	1.24
32	294	2.53
90	382	4.76
286	208	3.13
293	685	1.68
216	144	2.87
166	328	2.99
250	496	1.95
271	132	4.7
160	174	2.71
265	118	4.0
198	498	1.44
42	96	2.66
168	151	4.77
110	307	1.35
58	144	1.08
90	648	4.13
271	346	1.39
62	21	1.26
279	832	2.98
237	514	1.74
94	789	1.96
128	485	2.4
298	317	2.72
44	195	3.1
264	200	4.26
194	385	1.57
72	195	1.83
222	750	1.2
250	264	2.95
41	265	1.74
224	245	2.68
82	135	2.97
262	1147	2.88
293	471	1.18
216	658	3.13
250	140	2.02
59	23	3.2
286	379	2.8
244	815	1.2
7	479	3.39
174	368	1.65
87	274	1.66
194	1211	2.34
82	1134	1.25
13	836	2.16
13	272	3.18
244	756	2.26
305	427	3.18
95	787	2.49
43	14	1.31
299	955	1.87
57	419	2.28
84	405	1.68
269	504	4.06
299	111	2.48
194	466	1.1
160	135	2.33
99	268	3.25
10	486	3.96
259	117	2.9
85	427	1.68
303	919	2.82
213	273	1.31
121	514	3.29
90	98	2.34
49	559	1.99
42	794	2.61
155	323	2.54
68	117	1.75
172	177	4.11
19	4	1.59
268	231	1.42
5	2	1.55
305	117	1.92
44	294	1.51
43	137	2.53
279	1336	1.3
80	466	3.07
254	164	2.93
298	281	2.36
279	1240	1.75
66	298	2.34
18	443	2.41
268	1035	1.82
99	79	2.16
13	98	2.23
26	258	1.17
7	455	3.75
222	755	1.6
200	673	1.37
119	328	2.01
213	172	2.9
276	322	1.13
94	1217	1.88
130	379	1.43
38	328	2.02
160	719	1.63
293	1267	1.45
26	930	1.79
130	216	2.93
92	1079	1.4
256	452	3.07
1	61	3.09
72	48	2.11
56	755	2.33
13	360	3.4
15	405	1.64
92	77	2.95
207	476	1.84
292	174	1.22
232	483	2.08
251	748	1.58
224	26	2.13
181	220	3.43
259	255	1.53
305	471	3.34
52	280	2.56
161	202	1.53
148	408	1.98
125	235	1.32
97	228	1.98
58	1098	1.33
83	234	2.61
90	347	3.39
272	178	3.36
194	181	2.42
125	478	3.48
110	688	1.7
299	14	1.74
151	10	4.86
269	127	3.74
6	14	1.76
54	106	2.44
303	69	3.71
16	944	1.36
301	790	4.0
276	1091	2.38
305	214	1.67
194	1028	2.56
91	323	1.65
87	554	2.18
294	109	1.85
286	171	2.15
200	318	2.46
